2026-02-24 15:19:33,000 INFO    MainThread:3877155 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_setup.py:_flush():68] Configure stats pid to 3877155
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_setup.py:_flush():68] Loading settings from /homes/m22jocal/.config/wandb/settings
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_setup.py:_flush():68] Loading settings from /users/local/efficient_deep_learning/wandb/settings
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_setup.py:_flush():68] Loading settings from environment variables
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_init.py:_log_setup():528] Logging user logs to /users/local/efficient_deep_learning/wandb/run-20260224_151932-jsu2cd40/logs/debug.log
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_init.py:_log_setup():529] Logging internal logs to /users/local/efficient_deep_learning/wandb/run-20260224_151932-jsu2cd40/logs/debug-internal.log
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_init.py:init():644] calling init triggers
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.1, 'architecture': 'ResNet18 - Mixup', 'dataset': 'CIFAR-10', 'epochs': 55, 'batch_size': 64}
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_init.py:init():680] starting backend
2026-02-24 15:19:33,001 INFO    MainThread:3877155 [wandb_init.py:init():684] sending inform_init request
2026-02-24 15:19:33,010 INFO    MainThread:3877155 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-02-24 15:19:33,012 INFO    MainThread:3877155 [wandb_init.py:init():697] backend started and connected
2026-02-24 15:19:33,013 INFO    MainThread:3877155 [wandb_init.py:init():790] updated telemetry
2026-02-24 15:19:33,014 INFO    MainThread:3877155 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2026-02-24 15:19:33,484 INFO    MainThread:3877155 [wandb_init.py:init():874] starting run threads in backend
2026-02-24 15:19:33,906 INFO    MainThread:3877155 [wandb_run.py:_console_start():2374] atexit reg
2026-02-24 15:19:33,907 INFO    MainThread:3877155 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2026-02-24 15:19:33,907 INFO    MainThread:3877155 [wandb_run.py:_redirect():2289] Wrapping output streams.
2026-02-24 15:19:33,907 INFO    MainThread:3877155 [wandb_run.py:_redirect():2314] Redirects installed.
2026-02-24 15:19:33,908 INFO    MainThread:3877155 [wandb_init.py:init():916] run started, returning control to user process
2026-02-24 15:22:18,365 WARNING MsgRouterThr:3877155 [router.py:message_loop():75] message_loop has been closed
